,0
0,Ramsey
1,Carver
2,Anoka
3,Olmsted
4,Hennepin
5,Stearns
6,Dakota
7,Wright
8,Renville
9,Washington
10,Waseca
11,Blue Earth
12,Benton
13,Nicollet
14,Martin
15,Rice
16,Mower
17,Scott
18,Chisago
19,Clay
20,Fillmore
21,Wabasha
22,Steele
23,St. Louis
24,Dodge
25,Jackson
26,Le Sueur
27,Sherburne
28,Big Stone
29,Cass
30,Lac qui Parle
31,Goodhue
32,Winona
33,Wilkin
34,Kandiyohi
35,Sibley
36,Faribault
37,Beltrami
38,Mahnomen
39,Lincoln
40,Clearwater
41,Isanti
42,Douglas
43,Cottonwood
44,Otter Tail
45,Itasca
46,Watonwan
47,Meeker
48,Carlton
49,Brown
50,Traverse
51,Lyon
52,Yellow Medicine
53,Crow Wing
54,Freeborn
55,Koochiching
56,McLeod
57,Polk
58,Houston
59,Pipestone
60,Redwood
61,Murray
62,Swift
63,Roseau
64,Pine
65,Nobles
66,Becker
67,Todd
68,Red Lake
69,Rock
70,Norman
71,Mille Lacs
72,Aitkin
73,Kittson
74,Marshall
75,Morrison
76,Chippewa
77,Pennington
78,Wadena
79,Kanabec
80,Grant
81,Pope
82,Lake
83,Hubbard
84,Stevens
85,Cook
86,Lake of the Woods
