,date,county,state,pop2019,weekOyear,cases,dailyCaseGrowth,deaths,dailyDeathGrowth,fips,COUNTYFP,case%,caseGrowth%,death%,deathGrowth%,caseper100K,deathper100K,ruralUrban,variable,value
0,2020-12-25,Dane,Wisconsin,546695,52,33540,157.0,182.0,2.0,,,0.06135047878616047,0.00468097793679189,0.00033290957480862273,0.01098901098901099,6135.0478786160475,33.290957480862275,urban,NEVER,0.017
1,2020-12-25,Pierce,Wisconsin,42754,52,3488,21.0,33.0,1.0,,,0.08158300977686299,0.006020642201834863,0.0007718576039668803,0.030303030303030304,8158.300977686299,77.18576039668804,rural,NEVER,0.063
2,2020-12-25,Fond du Lac,Wisconsin,103403,52,10901,50.0,72.0,0.0,,,0.1054224732357862,0.004586735161911751,0.0006963047493786448,0.0,10542.24732357862,69.63047493786448,urban,NEVER,0.121
3,2020-12-25,Waukesha,Wisconsin,404198,52,35944,42.0,351.0,0.0,,,0.08892671413515159,0.0011684843089249945,0.0008683862859291733,0.0,8892.67141351516,86.83862859291733,urban,NEVER,0.071
4,2020-12-25,Sheboygan,Wisconsin,115340,52,11558,50.0,93.0,0.0,,,0.100208080457777,0.004326007959854646,0.0008063117738859025,0.0,10020.8080457777,80.63117738859025,urban,NEVER,0.128
5,2020-12-25,Racine,Wisconsin,196311,52,18830,1.0,256.0,0.0,,,0.09591923020105853,5.310674455655868e-05,0.0013040532624254372,0.0,9591.923020105853,130.4053262425437,urban,NEVER,0.061
6,2020-12-25,Milwaukee,Wisconsin,945726,52,89354,329.0,971.0,0.0,,,0.09448191125125036,0.0036819840186225576,0.001026724442386061,0.0,9448.191125125035,102.6724442386061,urban,NEVER,0.053
7,2020-12-25,Winnebago,Wisconsin,171907,52,16667,12.0,164.0,0.0,,,0.09695358536883315,0.0007199856002879943,0.0009540041999453192,0.0,9695.358536883316,95.40041999453193,urban,NEVER,0.07400000000000001
8,2020-12-25,Washington,Wisconsin,136034,52,12672,1.0,98.0,0.0,,,0.09315318229266213,7.891414141414142e-05,0.0007204081332608024,0.0,9315.318229266213,72.04081332608024,urban,NEVER,0.031
9,2020-12-25,Polk,Wisconsin,43783,52,2971,23.0,23.0,0.0,,,0.06785738757051823,0.007741501178054527,0.0005253180458168696,0.0,6785.738757051823,52.53180458168696,rural,NEVER,0.081
